year	Primary_Occupations	Main_income	Main_Ocupation	Member_ALCS	Member_ALCS_year	Member_Society	Member_Society_year	Member_WGGB	Member_WGGB_year	Member_NUJ	Member_NUJ_year	Member_ALLi	Member_ALLi_year	Member_Other	Member_Other_year	Starting_Year	Importance_Books	Importance_Newspapers	Importance_Magazines	Importance_Theatre	Importance_Audio	Importance_Digital	Importance_Other	Importance_Other_Name	Books_Fiction	Books_Travel	Books_Nonfiction	Books_Academic	Books_Professional	Books_Children	Books_NonfictionChildren	Books_Educational	Books_Games	Audio_Film	Audio_FilmDocu	Audio_TVDrama	Audio_TVDocu	Audio_Children	Audio_TVComedy	Audio_TVSoap	Audio_RadioFiction	Audio_RadioNonFiction	Audiovisuals	Broadcasting	Downloading	Online	Rental	hh_income_2021	indiv_income_2021	writing_income_2021	Earn_Publishers	Earn_SelfPublication	Earn_PublicLending	Earn_ALCS	Earn_Awards	Earn_Grants	Earn_Fellowship	Earn_Teaching	Earn_Lectures	Earn_Crowfunding	Earn_Journalist	Earn_ComResearch	Earn_Copywriter	Earn_BookEdit	Earn_Academic	Earn_Translation	Earn_Others	hh_income_2020	indiv_income_2020	writing_income_2020	Covid_Impact_Earnings	Covid_Impact_Earnings_Info	Covid_Impact_Profession	Covid_Impact_Profession_Info	agent	legal_advise	legal_advise_whom	Copyright_confidence	cowriter	Copyright_concerns	Copyright_understand	Changed_contract	Change_contract_attempt	Changed_contract_Negotiations	Negotiation_fee	Negotiation_royalty	Negotiation_licence	Negotiation_attribution	Negotiation_integrity	Negotiation_warranties	Negotiation_reversion	Negotiation_other	self_publishing	self_publishing_types	self_publishing_comments	self_publishing_paid	buyout	buyout_percentage	buyout_percentage_change	reverse_clause	reverse_clause_use	reverse_clause_furtherearnings	advance	advance_change	royalty_paid	royalty_rate_hardback	royalty_rate_paperback	royalty_rate_ebooks	royalty_ebook	royalty_ebook_change	moral_rights	moral_rights_percent	moral_rights_dispute	moral_rights_dispute_grounds	MR_dispute_grounds_addition	Contractual_changes	Contract_clauses	Negotiation_perception	gender	age_group	ethnicity	housesize	edu	Training	country	PostCode	international	Issues_Survey	previous_surveys	Prize_draw	hh_income_2018	indiv_income_2018	writing_income_2018
2022	0	0	Author	1	1935	0		0		0		0		1	1982	2011	1	2	6	3	4	5	7		1	2	3	4	5	6	7	8	9	1	6	2	3	4	5	7	8	9	1	1	2	3	4	45000	25000	13000	12000	50000	2000	10000							34000	666	111111					44444	2222	22	Decreased moderately		Negative impact	details	1	Yes, sometimes	Agent	No confidence	0	No	1	1	1		0	1	1	0	0	0	0	0	0				1	10-39%	Decreased	0			1	Slightly decreased	Other	60-79%	80-100%	40-59%	Other	They have gone up substantially	Yes	40-59%	1	Integrity	aaaaaaa	qqqqqqqqqqqqq	aaaaa	Not changed	Male	Under 25	White	2	Diploma	1	S	CM23		aaa					
2022	1	1	Author	1		0		1		0		0		0		2000	1	6	4	5	2	3	7		1	2	4	3	5	6	7	8	9								1		1	1	2			55000	6000	6000	5.7		300															55000	10500	10500	Decreased substantially	I had book projects cancelled. Numerous writing projects discussed pre-pandemic and in early stages were all cancelled. My only income is advance payments from book deals agreed before the pandemic. I am constantly seeking new projects and submitting work but currently have nothing agreed which would lead me to earn this year.	Very negative impact	I have had to homeschool two children. My husband works in the NHS so has been largely absent the past two years. I have had to fit my work into a small number of hours and lost my work space as I had to give it to the children to work in for the first year or so. I have been in a state of stress and anxiety almost constantly. My fall in earnings has been crushing and demoralising. I don't qualify for any form of financial relief. It is still incredibly hard to find work.	1			Less confident	0	No	1	0	0		0	0	0	0	0	0	0	0	0				0			1	0	0	1	Slightly decreased	Other					They have stayed the same	No		0						Female	45-54	White	4	PhD	1	W	CF62			3	1			
2022	0	0	Academic	1	2014	1	2014	0		0		0		0		2015	2	5	3	4	6	1	7		3	4	5	1	2	6	7	8	9										0					85000	43000	400	150			250											42600			80500	40500	500	Decreased moderately	Couldn't travel to do speaker events.	Positive impact	More time to write, lower work-related stress	0	Never		Less confident	1	No	1	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Other	0-19%	0-19%	0-19%	Other	They have stayed the same	No		0			Don't know because I haven't read the contracts for journal articles which I've signed. In fact, I don't remember signing them, but I must have.		Not changed	Female	35-44	White	2	PhD	1	E	LS19				1			
2022	1	1	13	0		0		0		0		0		0		2014	3	5	4	7	6	2	1	Copywriting	2	5	4	6	3	7	8	9	1										0					99800	70500	500	0										200		70000					100100	70000	300	Decreased moderately	Salary cut at work, and second book came out during the early weeks of the pandemic, severely limiting sales.	Negative impact	Increased stress. Limited opportunities to do events, to write.	1	Never		Less confident	1	No	0	0	0		0	0	0	0	0	0	0	0	0				0			1	0	0	1	Substantially decreased	Percentage of net receipts	0-19%	0-19%	0-19%	Percentage of net receipts	They have gone down substantially	Don't know		0					Weakened	Male	35-44	White	4	Degree	1	E	HP4		None, other than I would expect copywriter to be listed as a role in and of itself alongside author/journalist. Given the amount of copywriters who are also authors I employ, it seems to be the case that many writers see advertising as a more viable writing career than literature of any description.	3	0			
2022	0	1	Author	0		0		0		0		0		0		2015	1	3	6	5	7	2	4																				0					150000	50000	100000	90000		10000															150000	50000	100000	Increased substantially		Very positive impact		1	Never		Very confident	0	No	0	0	0		0	0	0	0	0	0	0	0	0				0			0			1	Substantially increased	Percentage of retail/publisher's price	40-59%	40-59%	20-39%	Percentage of retail/publisher's price	They have gone up	Don't know		0					Improved	Non-binary	35-44	White	2	Degree	1	E	SE19			3	0			
2022	1	1	Author	1		0		0		0		0		0		2003	1	4	6	2	3	7	5		1	3	4	5	2	6	7	8	9			4	1					7	1				4	3	10	10	20	10	3																		Stayed the same	m	No impact		1	Yes, as a matter of course	Agent		0						0	0	0	0	0	0	0	0	1	Electronic publication												60-79%		40-59%	Other										Other/prefer not to say	85 and over													
2022	1	1	Author	1		1		0		0		0		0		2006	3	6	4	7	2	5	1	Short Film Programmer for a film festival	2	4	3	5	9	1	8	7	6	0	0	0	0	0	0	0	1	2	1	0	1	2	0	25787	6287	6287	4700		66.47	46.27		1700					190	0	530	0				28000	9114	9114	Decreased substantially	I usually work from July-October on a film festival, programming the short films and writing copy for the festival programme itself. In 2020 the event was held entirely online and much of the programming work was done by the core team. I contributed some content, but for considerably lower pay. The SOA's contingency grant and SEISS payments helped keep my head above water - without them I would have struggled to pay my rent.	Positive impact	Production of audio dramas was able to continue during lockdown, with many actors recording from home. This allowed me to carry on working through much of the year, and I used the time to work on other projects. In the months before the pandemic I had been struggling to find work, low on funds and suffering badly with depression. Though it was a worrying time for us all, writing provided a distraction, an income and a way to pass the time. There were other times when I wasn't as productive and when the jobs became more sparse, but ironically that seems to have happened more since restrictions began to ease.	0	Never		Moderately confident	1	No	1	1	1	I had been contracted early in the first lockdown to write an as-yet untitled audiobook. This project stalled before the story was developed, but when we returned to it at the tail end of 2021 I came up with an entirely new story concept. Though I'd been paid for signing the contract in 2020, I believed it was my right to request a new contract referring specifically to the project we were now working on, and the producer agreed. 	0	0	0	0	0	0	0	1	0				0			0			1	Slightly decreased	Percentage of net receipts		0-19%		Percentage of net receipts		No		0			A company that I've written scripts for has changed their contracts so that writers can no longer invoice for the second half of payment on delivery of a manuscript, but when that script has been fully approved. This has drawn the process out considerably. "Full approval" often means the script editor, producer, director, company boss, and usually - if it's a licensed series - BBC approval. Once this has been achieved there is a 30 day waiting period from invoice to payment.		Not changed	Male	35-44	White	2	Degree	1	W	CF24				1			
2022	1	1	Author	0		0		0		0		0		0		2021	1	2	4	5	3	6	7		1	3	2	4	5	6	7	8	9	1			2				3		1	1				30		13	13				160	150											13			13	Stayed the same		Negative impact	I’m tired. All the time. It’s exhausting.	1	Yes, as a matter of course	Agent	No confidence	1	Don't know	0	0	0		0	0	0	0	0	0	0	0	0				0			1	0		1	Substantially decreased	Percentage of retail/publisher's price	0-19%	0-19%	20-39%	Percentage of retail/publisher's price	They have gone up substantially	No		0					Improved	Female	45-54	White	2	Diploma	1	Other		1			0			
2022		1	Author	0		0		0		0		0		0		2018	1	4	3	6	5	2	7		5	8	6	2	3	1	7	4	9										0					100000	60000		60000		300															58000	18000		Stayed the same	No opportunities for paid events	Negative impact	Lockdown impacted publication of two books, no in person events or visits	1	Never		Moderately confident	0	No	1	0	0		0	0	0	0	0	0	0	0	0				1	10-39%	Stayed the same	1	0	0	1	Slightly increased	Percentage of retail/publisher's price	0-19%	0-19%	0-19%	Percentage of retail/publisher's price	They have stayed the same	No		0					Not changed	Non-binary	35-34	White	3	Masters	1	E	NG19		Gender form needs looking at. 'Trans-gender' is not a gender, and should not be hyphenated		1			
2022	1	0	Journalist	1	2020	1		0		0		0		1	2021	2004	3	4	1	5	6	7	2	Copy writing / editing	3	4	1	2	5	6	7	8	9										0					37000	12000	7500	5000		60	350														40000	15000	2000	Stayed the same	My earnings have changed, but not sure how attributable that is to Covid. The main problem for me with Covid has been access to research materials, and in particular the British Library and the National Archives.	Negative impact	Yes, there has been a lot of anxiety through Covid, both for myself and in thinking about those I love - in particular my late teenage children, whose generation has suffered greatly from the restrictions placed upon it.	1	Never		Moderately confident	0	Yes	0	0	0		0	0	0	0	0	0	0	0	0				0			1	0	0	1	No change	Percentage of retail/publisher's price	0-19%	0-19%				No		0						Male	55-64	White	3	Masters	1	E	E4		No, but I didn't think the survey was particularly well designed and as a consequence, with regard to the remuneration questions, I don't think you will have received useful or accurate information about my earnings		1			
